state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations
Karnataka,2021,3W,89003,23236
Chhattisgarh,2022,4W,66690,10855
Gujarat,2024,2W,45885,6805
Chhattisgarh,2024,2W,97793,14670
Bihar,2018,4W,94263,11563
Maharashtra,2018,2W,62228,11444
Gujarat,2023,4W,74153,17740
Delhi,2024,2W,85348,30216
Punjab,2024,4W,73415,11546
Assam,2023,2W,48796,8894
Assam,2016,2W,100484,10648
Rajasthan,2020,2W,78509,19772
Delhi,2024,3W,76192,9759
Assam,2016,2W,109192,20713
Bihar,2021,4W,91896,27305
Chhattisgarh,2024,2W,114359,16614
Telangana,2023,4W,64237,13388
Assam,2023,4W,76016,0
Madhya Pradesh,2024,3W,118260,21515
Assam,2019,3W,102091,6401
Gujarat,2022,2W,118646,14376
West Bengal,2023,3W,76769,3059
Tamil Nadu,2019,3W,74991,11775
Tamil Nadu,2019,4W,74439,16663
Kerala,2017,2W,81810,22708
Haryana,2018,3W,65955,5302
Gujarat,2023,2W,79426,19287
Delhi,2022,3W,117339,30671
Uttar Pradesh,2019,2W,27036,5885
Odisha,2024,3W,123811,23060
Punjab,2022,2W,64518,13607
Haryana,2021,2W,64902,15830
Haryana,2016,3W,79610,25419
Assam,2023,3W,94985,10221
Maharashtra,2022,3W,98138,26850
Chhattisgarh,2020,4W,62946,8650
Tamil Nadu,2017,2W,10844,2931
Delhi,2017,3W,62367,0
Telangana,2016,2W,26936,4247
Telangana,2018,3W,102819,17591
Telangana,2022,2W,94153,6576
Assam,2024,4W,39759,10678
Jharkhand,2021,2W,94764,16768
Telangana,2016,4W,118462,10055
Uttar Pradesh,2022,2W,67392,19047
Telangana,2016,4W,135133,24437
Tamil Nadu,2020,2W,130385,15613
Madhya Pradesh,2017,3W,89892,14618
Delhi,2023,2W,32352,6657
Punjab,2024,3W,107982,17835
Telangana,2018,2W,77886,24868
Chhattisgarh,2019,2W,42508,1285
Uttar Pradesh,2020,2W,60378,3643
Uttar Pradesh,2019,3W,120388,25398
Kerala,2024,2W,54077,6410
Kerala,2023,4W,165832,19732
Uttar Pradesh,2020,3W,57139,12023
Maharashtra,2020,2W,99147,20044
Maharashtra,2016,4W,52741,3379
Chhattisgarh,2024,2W,97884,17088
Chhattisgarh,2023,2W,30757,9137
Bihar,2017,4W,103259,16098
Odisha,2023,4W,72192,14665
West Bengal,2024,3W,59389,2682
Rajasthan,2019,3W,89675,3236
Rajasthan,2018,3W,91721,3290
Haryana,2016,2W,77023,12819
Maharashtra,2017,4W,133478,9818
Telangana,2022,2W,37551,4332
Karnataka,2017,4W,46288,5601
West Bengal,2024,4W,92624,23822
Kerala,2019,4W,129786,13800
Kerala,2016,3W,159156,60195
Uttar Pradesh,2018,3W,73894,0
Bihar,2016,3W,77506,14513
Haryana,2021,4W,11022,2065
Punjab,2019,2W,73995,7505
Kerala,2019,3W,98798,27716
Uttar Pradesh,2016,3W,65414,13275
West Bengal,2017,3W,60356,6116
Telangana,2024,4W,82384,19141
Rajasthan,2019,4W,63101,0
Maharashtra,2017,3W,97573,1985
Tamil Nadu,2018,3W,83659,29941
Karnataka,2022,2W,79495,4851
Kerala,2020,4W,36164,10742
Madhya Pradesh,2017,4W,79491,18598
Chhattisgarh,2018,4W,107789,18873
West Bengal,2021,4W,70741,6031
Jharkhand,2018,3W,12475,351
Gujarat,2016,4W,77912,12658
Chhattisgarh,2022,4W,92106,15412
Chhattisgarh,2018,4W,84780,21939
Chhattisgarh,2016,4W,53448,8085
Madhya Pradesh,2017,2W,31783,8813
Karnataka,2018,4W,81152,18582
Haryana,2017,3W,126274,36361
Bihar,2024,2W,78199,20235
Maharashtra,2024,4W,37048,8276
Madhya Pradesh,2023,3W,84167,1529
Maharashtra,2023,2W,120119,13164
Chhattisgarh,2024,2W,100496,13869
Chhattisgarh,2017,4W,109806,34174
Jharkhand,2020,2W,55098,1485
Telangana,2019,4W,76057,20146
Rajasthan,2019,4W,68860,8170
Bihar,2023,3W,94648,0
Tamil Nadu,2023,4W,60058,2499
Kerala,2016,4W,88844,9450
Rajasthan,2017,4W,46544,6731
Gujarat,2021,3W,35947,6423
Kerala,2018,2W,59528,8468
Jharkhand,2016,3W,58485,15862
Telangana,2017,4W,76734,17836
Rajasthan,2023,3W,94393,9381
Chhattisgarh,2020,3W,97099,20867
Bihar,2023,2W,89409,12528
Assam,2019,3W,67194,17373
Tamil Nadu,2023,2W,145458,14107
Kerala,2023,2W,96033,13768
Chhattisgarh,2023,3W,103545,23176
West Bengal,2019,2W,111803,0
Tamil Nadu,2017,2W,61967,5030
Chhattisgarh,2020,3W,76760,8260
Gujarat,2024,3W,60770,15082
Delhi,2021,2W,137057,0
Jharkhand,2023,3W,70686,14929
Maharashtra,2018,2W,80141,11659
Jharkhand,2023,3W,39395,3377
Kerala,2018,3W,101749,29260
Haryana,2022,3W,82900,7990
Delhi,2021,2W,82871,12927
Punjab,2021,3W,96368,18486
Delhi,2019,4W,61346,12211
Maharashtra,2020,3W,44617,11689
Haryana,2017,3W,115470,7176
West Bengal,2017,3W,92631,7491
Odisha,2020,2W,112150,30326
Telangana,2017,2W,73094,20429
Kerala,2018,2W,67067,7759
Telangana,2022,4W,62938,10442
Punjab,2019,3W,70297,13738
Odisha,2016,4W,61548,15785
West Bengal,2024,4W,110629,14427
Rajasthan,2017,2W,37184,9384
Odisha,2023,4W,114156,18684
Gujarat,2020,3W,41404,8557
Karnataka,2024,2W,125740,0
Uttar Pradesh,2023,3W,94337,14021
Punjab,2020,3W,54329,12485
Telangana,2020,3W,41035,8604
Madhya Pradesh,2020,3W,119397,23601
Assam,2022,2W,53710,111
Uttar Pradesh,2018,2W,41541,0
Rajasthan,2024,3W,127988,19844
Assam,2019,3W,48645,2440
Punjab,2023,3W,47982,7025
Gujarat,2024,2W,41521,14433
Madhya Pradesh,2017,2W,57578,5858
Punjab,2024,2W,89232,29005
Punjab,2019,3W,119719,15709
Telangana,2019,2W,87662,17087
Odisha,2022,3W,95896,19713
Chhattisgarh,2019,3W,51685,2790
Telangana,2021,2W,85269,5256
Jharkhand,2020,4W,120896,22244
Haryana,2018,4W,49217,7276
Chhattisgarh,2024,4W,64780,10810
Rajasthan,2017,3W,108375,3853
Madhya Pradesh,2022,3W,23972,5125
Bihar,2022,3W,74681,14661
Maharashtra,2018,2W,93336,15110
Odisha,2023,4W,103990,9431
Jharkhand,2016,2W,81931,7941
West Bengal,2024,3W,46102,11135
Bihar,2019,2W,97071,0
Madhya Pradesh,2018,2W,46340,9694
Chhattisgarh,2017,4W,112106,12713
Bihar,2017,4W,74485,2879
Karnataka,2016,2W,155324,35338
Madhya Pradesh,2016,4W,106838,26261
Kerala,2018,4W,107997,26006
Telangana,2024,4W,69944,17793
Odisha,2017,2W,82374,25507
Tamil Nadu,2020,4W,57933,7292
Rajasthan,2022,3W,99834,30745
Madhya Pradesh,2016,2W,84354,9173
Assam,2020,3W,76431,9949
Telangana,2021,4W,136905,36946
Madhya Pradesh,2023,4W,117933,24784
Madhya Pradesh,2024,2W,63346,18834
Maharashtra,2022,4W,129618,30874
Kerala,2016,2W,79272,22838
Rajasthan,2023,4W,68866,17660
Odisha,2017,3W,58652,4865
Madhya Pradesh,2022,3W,96993,20736
Madhya Pradesh,2023,2W,137129,20842
Punjab,2022,3W,80703,5326
West Bengal,2019,2W,23921,45
Kerala,2024,2W,93893,5852
Rajasthan,2023,2W,113803,36670
Kerala,2019,2W,71437,24705
Bihar,2019,3W,86815,25392
Kerala,2017,4W,73228,20204
Jharkhand,2018,2W,51700,12525
Jharkhand,2022,4W,66223,11055
Karnataka,2018,3W,98951,19520
Karnataka,2019,2W,77768,19658
Gujarat,2022,2W,104096,4319
Karnataka,2018,3W,96768,23911
Bihar,2021,4W,57448,12556
Delhi,2017,2W,40272,13045
Punjab,2019,2W,72870,12544
Chhattisgarh,2023,2W,115921,19211
Kerala,2022,3W,97966,7372
Punjab,2023,2W,62907,2563
Delhi,2016,2W,73754,20880
Telangana,2017,3W,86708,23274
Odisha,2017,4W,49213,4511
Rajasthan,2022,3W,66033,15666
Kerala,2022,2W,90692,16185
Karnataka,2023,2W,98678,16268
Haryana,2024,3W,79354,24638
Rajasthan,2021,3W,62411,12374
Jharkhand,2016,4W,128358,24412
Odisha,2019,4W,101196,12075
West Bengal,2016,3W,138695,0
Karnataka,2023,2W,45970,3430
Karnataka,2020,2W,128594,27679
Tamil Nadu,2021,3W,72130,3738
Telangana,2021,4W,90923,17402
Karnataka,2020,4W,59210,1826
Punjab,2020,3W,46917,9446
Maharashtra,2017,2W,89330,16732
Madhya Pradesh,2017,3W,75452,235
Bihar,2022,3W,81463,6252
Odisha,2023,2W,81253,18404
Jharkhand,2018,2W,59726,4640
Kerala,2018,4W,109808,23628
Madhya Pradesh,2021,3W,60901,0
Bihar,2021,4W,78526,19075
Tamil Nadu,2024,2W,113646,12752
West Bengal,2018,2W,60709,8238
Odisha,2017,4W,105137,6574
Karnataka,2023,4W,76613,6697
Assam,2021,2W,88056,2160
Odisha,2017,2W,91284,11897
Telangana,2017,2W,73278,17042
Delhi,2022,3W,114314,1177
Bihar,2018,2W,110106,25964
Gujarat,2022,3W,71159,22799
Madhya Pradesh,2024,4W,85659,26498
Delhi,2020,3W,62216,5806
Telangana,2020,3W,116739,46278
Telangana,2020,2W,99013,26646
Bihar,2019,2W,65783,3123
Madhya Pradesh,2019,2W,73220,24164
Kerala,2019,3W,24186,3155
Tamil Nadu,2022,3W,22563,4305
Madhya Pradesh,2024,4W,106227,5919
Madhya Pradesh,2017,4W,67718,21166
Bihar,2016,2W,77345,4337
Maharashtra,2023,2W,40512,0
Bihar,2021,2W,103198,10875
Kerala,2019,2W,111520,29742
Karnataka,2019,4W,60199,7657
Rajasthan,2017,3W,103359,20149
Chhattisgarh,2018,3W,88034,1346
Telangana,2016,2W,106931,9887
Haryana,2019,2W,11914,1409
Haryana,2021,2W,92659,36110
Karnataka,2019,3W,68815,3235
Karnataka,2019,2W,143704,28169
Punjab,2022,4W,72164,5224
Haryana,2018,4W,49880,16354
Kerala,2017,2W,71879,9072
Karnataka,2023,4W,64702,21790
Jharkhand,2017,3W,62317,15131
Delhi,2022,4W,87984,17942
Assam,2018,4W,53682,13198
Assam,2017,4W,128258,22417
Uttar Pradesh,2022,4W,52407,2665
Telangana,2022,3W,85721,13098
Kerala,2022,2W,76868,13927
Kerala,2021,3W,35731,9223
Odisha,2016,3W,87029,15015
Rajasthan,2022,4W,86955,23705
West Bengal,2019,2W,81602,7750
Odisha,2018,3W,114986,15714
Delhi,2017,3W,58235,1386
Haryana,2023,2W,80237,6036
Gujarat,2016,2W,64426,14491
Assam,2018,4W,80998,22811
West Bengal,2017,4W,89154,12446
Haryana,2024,2W,70108,9062
Gujarat,2021,3W,99391,18103
Uttar Pradesh,2024,2W,67672,17898
Tamil Nadu,2017,3W,82888,11061
Jharkhand,2019,3W,34628,7747
Gujarat,2016,3W,87161,16136
Punjab,2016,4W,66978,6473
West Bengal,2017,4W,73199,14869
Uttar Pradesh,2019,4W,76164,12607
West Bengal,2019,3W,65954,14106
Uttar Pradesh,2019,2W,87008,9114
West Bengal,2024,2W,102807,26640
West Bengal,2021,2W,104407,17429
Gujarat,2019,4W,74175,4753
Rajasthan,2016,4W,102639,0
Karnataka,2021,2W,68271,9968
West Bengal,2023,4W,105686,19016
Kerala,2022,3W,51065,1905
Madhya Pradesh,2022,3W,58125,11082
Haryana,2023,4W,81651,13083
Bihar,2018,2W,59470,9454
Maharashtra,2023,3W,109932,7690
Madhya Pradesh,2023,4W,81009,27693
Bihar,2018,3W,96629,12987
West Bengal,2017,2W,99829,10461
Gujarat,2021,3W,80211,26903
Haryana,2017,3W,136824,1250
Chhattisgarh,2024,4W,101002,37861
Karnataka,2016,4W,63639,13103
Gujarat,2017,4W,125217,16371
Punjab,2024,2W,93560,16286
Karnataka,2024,3W,22238,4772
Gujarat,2016,2W,74476,20318
Delhi,2019,2W,142801,35470
Jharkhand,2020,2W,68978,15521
Madhya Pradesh,2017,3W,86053,24292
Telangana,2018,3W,36836,2334
Telangana,2023,2W,18644,4487
Telangana,2024,3W,79429,9212
Rajasthan,2020,4W,58242,7151
Chhattisgarh,2019,3W,52165,7713
Haryana,2016,2W,65173,20790
Uttar Pradesh,2022,2W,89699,8803
Telangana,2021,3W,62483,18738
Uttar Pradesh,2020,2W,93572,19605
Chhattisgarh,2016,4W,101619,34409
Haryana,2023,4W,43480,4584
Chhattisgarh,2017,3W,27781,6375
Assam,2022,4W,68635,7743
Haryana,2020,3W,57133,14233
Haryana,2018,3W,75737,9614
Punjab,2017,3W,117660,8870
Madhya Pradesh,2018,4W,42068,18487
Karnataka,2020,4W,68968,8666
Telangana,2020,4W,58177,9675
Punjab,2016,4W,103482,26423
Karnataka,2019,2W,96321,14654
Kerala,2022,3W,35297,7352
Chhattisgarh,2021,2W,125563,36027
Gujarat,2023,2W,74952,19506
Karnataka,2016,2W,68435,11940
Maharashtra,2021,3W,42969,6379
Delhi,2024,3W,84216,13735
Assam,2019,3W,103098,37977
Kerala,2018,2W,119649,17888
Haryana,2023,2W,58064,6661
Gujarat,2016,2W,50666,9292
Gujarat,2023,2W,92633,18369
Tamil Nadu,2018,4W,85809,16803
Telangana,2022,3W,76038,8042
Maharashtra,2016,4W,131739,37513
Assam,2021,4W,52752,4720
Bihar,2024,4W,62411,11440
Jharkhand,2019,2W,117771,33150
Maharashtra,2016,2W,112032,32352
Assam,2016,3W,113192,28713
Uttar Pradesh,2019,2W,93635,15739
Karnataka,2017,2W,27686,4625
Assam,2019,2W,134059,16891
Odisha,2019,4W,61229,17250
Chhattisgarh,2022,4W,82418,10878
Uttar Pradesh,2024,3W,126729,30721
Tamil Nadu,2020,4W,102727,12691
Karnataka,2023,4W,94911,20657
Assam,2016,3W,103312,30468
Odisha,2023,2W,113782,22420
Bihar,2018,2W,100684,6594
Delhi,2020,2W,99308,24671
Karnataka,2017,3W,68334,7012
Telangana,2016,3W,78237,4588
Assam,2022,4W,90226,18899
Chhattisgarh,2020,3W,51542,9522
Rajasthan,2017,4W,112031,32070
Maharashtra,2018,3W,110316,18198
Madhya Pradesh,2019,2W,69855,9843
Punjab,2019,3W,97780,40596
Punjab,2019,3W,122150,41357
Assam,2023,3W,120497,2256
Chhattisgarh,2016,2W,73978,10115
Odisha,2019,4W,117487,40983
Kerala,2019,3W,60082,11047
Tamil Nadu,2018,2W,96715,12684
Karnataka,2016,2W,61144,6863
Delhi,2018,3W,106546,9491
Gujarat,2016,2W,114059,21521
Karnataka,2018,4W,102550,34303
Karnataka,2017,4W,59932,5893
Karnataka,2017,4W,92802,7130
Haryana,2019,4W,58099,9798
Tamil Nadu,2022,2W,84705,4714
Madhya Pradesh,2019,2W,68536,16328
Delhi,2016,2W,120289,0
Tamil Nadu,2020,3W,119113,31921
Delhi,2018,2W,47517,1583
Rajasthan,2020,3W,92492,12778
Punjab,2022,3W,84071,22347
Maharashtra,2021,3W,68873,13511
Kerala,2016,4W,94206,25302
Haryana,2021,4W,132656,46356
Chhattisgarh,2023,3W,87206,13645
Maharashtra,2022,2W,150901,36787
Odisha,2024,2W,92768,6531
Haryana,2023,4W,103256,10603
Karnataka,2024,4W,66334,3128
Rajasthan,2017,4W,64521,12015
Kerala,2018,3W,35225,3204
Maharashtra,2024,2W,77681,4223
Kerala,2016,2W,42631,4146
Haryana,2023,2W,38002,9164
Jharkhand,2018,3W,50348,12918
Haryana,2024,3W,107627,6542
Uttar Pradesh,2020,2W,81223,10750
Madhya Pradesh,2023,2W,46038,6753
Delhi,2017,3W,72795,18258
Assam,2017,4W,110648,7789
Punjab,2021,2W,67866,15803
West Bengal,2022,4W,115214,0
Tamil Nadu,2022,4W,118239,19304
Maharashtra,2021,2W,125845,17335
Kerala,2020,3W,55141,10172
Assam,2024,2W,114997,21051
West Bengal,2019,3W,9442,2344
Gujarat,2024,4W,31820,2620
Karnataka,2021,4W,45221,0
Punjab,2024,2W,42487,3459
Bihar,2024,4W,61663,10770
Punjab,2018,3W,69980,2236
Bihar,2020,4W,74549,20670
Madhya Pradesh,2018,3W,108446,20980
Bihar,2019,4W,98581,26540
Rajasthan,2020,3W,120849,42254
Gujarat,2018,2W,70391,10758
Punjab,2024,3W,124183,41738
Uttar Pradesh,2019,3W,126219,0
Rajasthan,2020,4W,73409,0
Delhi,2018,4W,101898,18908
Delhi,2019,3W,81565,13558
Gujarat,2018,3W,119101,17947
Kerala,2022,3W,110993,26123
Rajasthan,2017,4W,90704,20522
Delhi,2020,2W,83321,5884
West Bengal,2023,2W,101486,25506
Maharashtra,2022,3W,75683,19153
Madhya Pradesh,2024,4W,106967,5545
Kerala,2023,2W,75735,10275
Gujarat,2020,4W,52845,11215
West Bengal,2016,4W,54704,7470
Madhya Pradesh,2022,4W,87361,18781
Odisha,2019,4W,89646,36162
Madhya Pradesh,2018,4W,64889,13303
Delhi,2023,3W,43824,9997
Punjab,2020,4W,114603,34539
Delhi,2022,2W,60925,9263
West Bengal,2018,3W,117871,20116
Odisha,2023,3W,108760,9000
Maharashtra,2022,4W,121501,34351
Uttar Pradesh,2021,2W,93921,9405
West Bengal,2023,2W,75208,14675
Karnataka,2020,4W,87902,14901
Rajasthan,2018,4W,73446,14633
Rajasthan,2024,3W,121866,0
Delhi,2023,4W,38843,990
Rajasthan,2023,4W,59390,354
Maharashtra,2021,4W,96593,18311
Punjab,2022,4W,72386,8096
Bihar,2019,4W,84705,16756
Uttar Pradesh,2022,4W,89907,9628
Delhi,2021,4W,99479,3297
Karnataka,2020,3W,117483,0
West Bengal,2022,2W,62190,3717
Maharashtra,2017,3W,103692,3264
Odisha,2021,4W,134655,3439
Telangana,2017,2W,140853,31663
Kerala,2022,4W,80921,18092
Madhya Pradesh,2022,3W,145777,39258
Rajasthan,2018,2W,12998,3891
Tamil Nadu,2019,3W,86953,1591
Assam,2019,2W,102814,6054
Haryana,2022,3W,85435,17371
Kerala,2024,4W,60548,14819
Gujarat,2023,3W,49351,9826
Madhya Pradesh,2020,4W,63580,10283
West Bengal,2020,3W,137686,26326
Uttar Pradesh,2023,2W,47378,7972
Telangana,2021,2W,56922,10396
Kerala,2021,3W,84857,15995
Jharkhand,2022,4W,82514,10359
Tamil Nadu,2021,2W,93476,26709
Kerala,2022,2W,61386,10690
Tamil Nadu,2021,2W,81820,24985
Chhattisgarh,2021,4W,112380,12024
Maharashtra,2016,2W,82170,2514
Tamil Nadu,2020,3W,51035,9262
Delhi,2018,2W,98898,27240
Uttar Pradesh,2023,3W,70676,3159
Gujarat,2019,3W,91906,14952
Assam,2018,4W,92718,18173
Tamil Nadu,2024,4W,101471,24907
Kerala,2019,3W,105307,14119
Rajasthan,2024,2W,109864,14249
Bihar,2017,4W,82548,30217
Delhi,2020,3W,90704,5749
Madhya Pradesh,2018,3W,124712,34920
Jharkhand,2024,2W,114214,22810
Jharkhand,2023,2W,90374,14161
Jharkhand,2019,3W,59002,19647
Uttar Pradesh,2024,4W,68949,9096
Maharashtra,2018,3W,66695,24425
Bihar,2023,4W,106344,15229
Kerala,2023,3W,78631,18167
Odisha,2022,4W,106354,2015
Tamil Nadu,2018,4W,107113,16944
Haryana,2016,2W,59418,8376
Karnataka,2021,2W,103757,36921
Chhattisgarh,2023,3W,84437,19900
Gujarat,2016,2W,55579,12735
Odisha,2018,3W,104679,3265
Delhi,2021,3W,64612,16739
Jharkhand,2024,4W,27232,3883
Rajasthan,2020,3W,98020,1072
Punjab,2022,3W,68100,12631
Assam,2016,3W,106711,5562
Kerala,2021,3W,113285,23854
West Bengal,2021,4W,115905,34345
Telangana,2024,3W,90223,20622
Rajasthan,2023,2W,27816,1251
Punjab,2019,3W,49840,7236
Kerala,2018,4W,107997,179
Tamil Nadu,2016,3W,70401,3370
Assam,2022,4W,33268,10901
Karnataka,2022,3W,82955,28496
Delhi,2016,2W,115523,10149
Rajasthan,2023,4W,24359,9427
Karnataka,2024,4W,67849,4447
West Bengal,2018,4W,100735,19507
Tamil Nadu,2019,2W,59858,8703
Bihar,2018,2W,84839,15898
Uttar Pradesh,2016,3W,102665,14850
Delhi,2016,3W,69705,16733
Gujarat,2020,4W,89388,25871
Telangana,2020,2W,72502,12337
Odisha,2016,3W,45320,14952
Maharashtra,2022,4W,38186,7645
Karnataka,2023,4W,53241,11379
Chhattisgarh,2016,2W,102331,1644
Odisha,2022,3W,73671,318
Tamil Nadu,2016,4W,122128,16571
West Bengal,2018,3W,32704,3591
Odisha,2024,2W,119339,39233
Tamil Nadu,2023,2W,118118,11996
Gujarat,2016,3W,75431,25908
Maharashtra,2016,4W,58052,8506
Delhi,2017,2W,51384,3267
Delhi,2018,3W,116186,28241
Maharashtra,2020,4W,93488,22246
Madhya Pradesh,2023,4W,110639,36625
Uttar Pradesh,2016,3W,79784,11641
Gujarat,2017,3W,49285,14205
Assam,2023,3W,64551,1971
Telangana,2016,4W,71936,13123
Karnataka,2016,2W,104975,29432
Maharashtra,2017,3W,58070,5805
Kerala,2020,4W,70155,4129
Uttar Pradesh,2023,4W,76709,17345
Karnataka,2021,3W,81287,1517
Bihar,2023,4W,44237,13650
Uttar Pradesh,2018,2W,49599,12590
Haryana,2018,4W,98959,14625
Odisha,2023,3W,50091,10070
Bihar,2020,4W,53416,8675
Punjab,2020,3W,83181,9009
Karnataka,2021,4W,73193,10917
Maharashtra,2018,4W,42935,6910
Kerala,2022,2W,60882,0
West Bengal,2022,4W,69867,10599
West Bengal,2019,3W,61853,0
Kerala,2016,3W,103282,25650
Telangana,2020,3W,99514,21145
Uttar Pradesh,2016,3W,42294,8132
Gujarat,2018,3W,52171,20803
Assam,2023,3W,64381,15886
Assam,2017,4W,33425,2073
Assam,2023,3W,63905,15992
Rajasthan,2019,3W,96429,20135
Karnataka,2022,3W,24380,7146
Rajasthan,2020,4W,52214,17833
Maharashtra,2022,3W,135985,35712
Assam,2017,4W,109652,5906
Haryana,2017,2W,157430,31767
West Bengal,2024,3W,109993,10359
Chhattisgarh,2021,3W,78049,4785
Chhattisgarh,2019,2W,72804,13217
Rajasthan,2019,2W,87674,28019
Uttar Pradesh,2020,3W,94425,19297
Haryana,2022,4W,81156,30923
Gujarat,2019,2W,62627,18714
Jharkhand,2021,2W,21161,1951
Haryana,2023,2W,92315,15130
Gujarat,2021,4W,170220,74547
Maharashtra,2021,3W,34425,2510
Chhattisgarh,2016,2W,75738,26813
Karnataka,2019,4W,114103,24274
Jharkhand,2019,3W,37569,3590
Telangana,2022,2W,1000,13
Bihar,2018,3W,92861,24070
Karnataka,2021,2W,40978,7833
Uttar Pradesh,2022,2W,128905,25362
Maharashtra,2016,2W,70941,17142
Assam,2021,4W,95973,18096
Bihar,2023,2W,64087,8848
West Bengal,2017,4W,82863,10406
Tamil Nadu,2020,3W,120148,32417
Madhya Pradesh,2017,4W,112786,43229
Chhattisgarh,2022,2W,127531,41108
Bihar,2018,3W,91283,14715
Madhya Pradesh,2019,2W,149171,16869
Karnataka,2020,3W,61551,5755
Karnataka,2024,2W,86596,19247
Karnataka,2020,4W,111023,17533
Jharkhand,2016,2W,28100,5964
Gujarat,2021,2W,109342,20073
Rajasthan,2020,4W,76118,18014
Bihar,2017,3W,123101,21394
Punjab,2021,3W,37515,4650
West Bengal,2017,3W,75141,20
Jharkhand,2022,2W,103187,10688
Bihar,2019,2W,95331,19042
Maharashtra,2023,4W,70746,24269
Rajasthan,2016,2W,63224,7141
Madhya Pradesh,2017,4W,88844,23464
Haryana,2018,3W,79987,6552
Delhi,2022,2W,100781,24238
Tamil Nadu,2023,3W,142280,22486
Punjab,2019,3W,86432,10664
Delhi,2021,2W,35387,6638
Punjab,2019,4W,105538,8310
Karnataka,2018,4W,59771,3736
Bihar,2024,2W,120244,14037
Bihar,2018,3W,97407,9113
Odisha,2022,2W,82267,9664
Gujarat,2016,3W,9575,1798
Kerala,2021,2W,95833,0
