year,month,state,city,vehicle_category,fuel_type,manufacturer,model_name,registrations
2019,1,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Tiago EV,454
2019,1,Uttar Pradesh,Lucknow,4W,EV,MG Motor,ZS EV,989
2019,1,Uttar Pradesh,Lucknow,2W,ICE,Honda,Activa 6G,10870
2019,1,Uttar Pradesh,Lucknow,2W,ICE,TVS,Jupiter,6960
2019,1,Uttar Pradesh,Lucknow,2W,EV,Ola Electric,S1 Pro,388
2019,1,Uttar Pradesh,Lucknow,2W,EV,Ather Energy,450X,581
2019,1,Kerala,Kochi,4W,ICE,Maruti Suzuki,Swift,11390
2019,1,Kerala,Kochi,4W,ICE,Hyundai,Creta,5262
2019,1,Kerala,Kochi,4W,EV,Tata Motors,Nexon EV,502
2019,1,Kerala,Kochi,4W,EV,Tata Motors,Tiago EV,932
2019,1,Kerala,Kochi,4W,EV,MG Motor,ZS EV,906
2019,1,Kerala,Kochi,2W,ICE,Honda,Activa 6G,8757
2019,1,Kerala,Kochi,2W,ICE,TVS,Jupiter,3773
2019,1,Kerala,Kochi,2W,EV,Ola Electric,S1 Pro,1188
2019,1,Kerala,Kochi,2W,EV,Ather Energy,450X,352
2019,1,Kerala,Trivandrum,4W,ICE,Maruti Suzuki,Swift,3192
2019,1,Kerala,Trivandrum,4W,ICE,Hyundai,Creta,5232
2019,1,Kerala,Trivandrum,4W,EV,Tata Motors,Nexon EV,378
2019,1,Kerala,Trivandrum,4W,EV,Tata Motors,Tiago EV,964
2019,1,Kerala,Trivandrum,4W,EV,MG Motor,ZS EV,802
2019,1,Kerala,Trivandrum,2W,ICE,Honda,Activa 6G,6651
2019,1,Kerala,Trivandrum,2W,ICE,TVS,Jupiter,11070
2019,1,Kerala,Trivandrum,2W,EV,Ola Electric,S1 Pro,782
2019,1,Kerala,Trivandrum,2W,EV,Ather Energy,450X,597
2019,2,Maharashtra,Mumbai,4W,ICE,Maruti Suzuki,Swift,10430
2019,2,Maharashtra,Mumbai,4W,ICE,Hyundai,Creta,3936
2019,2,Maharashtra,Mumbai,4W,EV,Tata Motors,Nexon EV,443
2019,2,Maharashtra,Mumbai,4W,EV,Tata Motors,Tiago EV,637
2019,2,Maharashtra,Mumbai,4W,EV,MG Motor,ZS EV,1036
2019,2,Maharashtra,Mumbai,2W,ICE,Honda,Activa 6G,9225
2019,2,Maharashtra,Mumbai,2W,ICE,TVS,Jupiter,10070
2019,2,Maharashtra,Mumbai,2W,EV,Ola Electric,S1 Pro,794
2019,2,Maharashtra,Mumbai,2W,EV,Ather Energy,450X,990
2019,2,Maharashtra,Pune,4W,ICE,Maruti Suzuki,Swift,7902
2019,2,Maharashtra,Pune,4W,ICE,Hyundai,Creta,8520
2019,2,Maharashtra,Pune,4W,EV,Tata Motors,Nexon EV,1098
2019,2,Maharashtra,Pune,4W,EV,Tata Motors,Tiago EV,928
2019,2,Maharashtra,Pune,4W,EV,MG Motor,ZS EV,678
2019,2,Maharashtra,Pune,2W,ICE,Honda,Activa 6G,4795
2019,2,Maharashtra,Pune,2W,ICE,TVS,Jupiter,4734
2019,2,Maharashtra,Pune,2W,EV,Ola Electric,S1 Pro,812
2019,2,Maharashtra,Pune,2W,EV,Ather Energy,450X,499
2019,2,Maharashtra,Nagpur,4W,ICE,Maruti Suzuki,Swift,6951
2019,2,Maharashtra,Nagpur,4W,ICE,Hyundai,Creta,3663
2019,2,Maharashtra,Nagpur,4W,EV,Tata Motors,Nexon EV,441
2019,2,Maharashtra,Nagpur,4W,EV,Tata Motors,Tiago EV,715
2019,2,Maharashtra,Nagpur,4W,EV,MG Motor,ZS EV,1052
2019,2,Maharashtra,Nagpur,2W,ICE,Honda,Activa 6G,6651
2019,2,Maharashtra,Nagpur,2W,ICE,TVS,Jupiter,5460
2019,2,Maharashtra,Nagpur,2W,EV,Ola Electric,S1 Pro,1060
2019,2,Maharashtra,Nagpur,2W,EV,Ather Energy,450X,706
2019,2,Delhi,Delhi,4W,ICE,Maruti Suzuki,Swift,7528
2019,2,Delhi,Delhi,4W,ICE,Hyundai,Creta,5460
2019,2,Delhi,Delhi,4W,EV,Tata Motors,Nexon EV,918
2019,2,Delhi,Delhi,4W,EV,Tata Motors,Tiago EV,1071
2019,2,Delhi,Delhi,4W,EV,MG Motor,ZS EV,1150
2019,2,Delhi,Delhi,2W,ICE,Honda,Activa 6G,8400
2019,2,Delhi,Delhi,2W,ICE,TVS,Jupiter,5664
2019,2,Delhi,Delhi,2W,EV,Ola Electric,S1 Pro,1060
2019,2,Delhi,Delhi,2W,EV,Ather Energy,450X,1156
2019,2,Karnataka,Bengaluru,4W,ICE,Maruti Suzuki,Swift,4866
2019,2,Karnataka,Bengaluru,4W,ICE,Hyundai,Creta,8460
2019,2,Karnataka,Bengaluru,4W,EV,Tata Motors,Nexon EV,876
2019,2,Karnataka,Bengaluru,4W,EV,Tata Motors,Tiago EV,1051
2019,2,Karnataka,Bengaluru,4W,EV,MG Motor,ZS EV,456
2019,2,Karnataka,Bengaluru,2W,ICE,Honda,Activa 6G,8192
2019,2,Karnataka,Bengaluru,2W,ICE,TVS,Jupiter,5552
2019,2,Karnataka,Bengaluru,2W,EV,Ola Electric,S1 Pro,569
2019,2,Karnataka,Bengaluru,2W,EV,Ather Energy,450X,1153
2019,2,Karnataka,Mysuru,4W,ICE,Maruti Suzuki,Swift,9056
2019,2,Karnataka,Mysuru,4W,ICE,Hyundai,Creta,5230
2019,2,Karnataka,Mysuru,4W,EV,Tata Motors,Nexon EV,1031
2019,2,Karnataka,Mysuru,4W,EV,Tata Motors,Tiago EV,1091
2019,2,Karnataka,Mysuru,4W,EV,MG Motor,ZS EV,431
2019,2,Karnataka,Mysuru,2W,ICE,Honda,Activa 6G,11180
2019,2,Karnataka,Mysuru,2W,ICE,TVS,Jupiter,5220
2019,2,Karnataka,Mysuru,2W,EV,Ola Electric,S1 Pro,728
2019,2,Karnataka,Mysuru,2W,EV,Ather Energy,450X,583
2019,2,Tamil Nadu,Chennai,4W,ICE,Maruti Suzuki,Swift,3090
2019,2,Tamil Nadu,Chennai,4W,ICE,Hyundai,Creta,3240
2019,2,Tamil Nadu,Chennai,4W,EV,Tata Motors,Nexon EV,1079
2019,2,Tamil Nadu,Chennai,4W,EV,Tata Motors,Tiago EV,471
2019,2,Tamil Nadu,Chennai,4W,EV,MG Motor,ZS EV,472
2019,2,Tamil Nadu,Chennai,2W,ICE,Honda,Activa 6G,3970
2019,2,Tamil Nadu,Chennai,2W,ICE,TVS,Jupiter,5856
2019,2,Tamil Nadu,Chennai,2W,EV,Ola Electric,S1 Pro,531
2019,2,Tamil Nadu,Chennai,2W,EV,Ather Energy,450X,932
2019,2,Tamil Nadu,Coimbatore,4W,ICE,Maruti Suzuki,Swift,10458
2019,2,Tamil Nadu,Coimbatore,4W,ICE,Hyundai,Creta,4776
2019,2,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Nexon EV,596
2019,2,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Tiago EV,986
2019,2,Tamil Nadu,Coimbatore,4W,EV,MG Motor,ZS EV,1173
2019,2,Tamil Nadu,Coimbatore,2W,ICE,Honda,Activa 6G,8192
2019,2,Tamil Nadu,Coimbatore,2W,ICE,TVS,Jupiter,8160
2019,2,Tamil Nadu,Coimbatore,2W,EV,Ola Electric,S1 Pro,408
2019,2,Tamil Nadu,Coimbatore,2W,EV,Ather Energy,450X,412
2019,2,Gujarat,Ahmedabad,4W,ICE,Maruti Suzuki,Swift,5742
2019,2,Gujarat,Ahmedabad,4W,ICE,Hyundai,Creta,7945
2019,2,Gujarat,Ahmedabad,4W,EV,Tata Motors,Nexon EV,602
2019,2,Gujarat,Ahmedabad,4W,EV,Tata Motors,Tiago EV,524
2019,2,Gujarat,Ahmedabad,4W,EV,MG Motor,ZS EV,1057
2019,2,Gujarat,Ahmedabad,2W,ICE,Honda,Activa 6G,2874
2019,2,Gujarat,Ahmedabad,2W,ICE,TVS,Jupiter,6167
2019,2,Gujarat,Ahmedabad,2W,EV,Ola Electric,S1 Pro,1177
2019,2,Gujarat,Ahmedabad,2W,EV,Ather Energy,450X,1190
2019,2,Gujarat,Surat,4W,ICE,Maruti Suzuki,Swift,8415
2019,2,Gujarat,Surat,4W,ICE,Hyundai,Creta,5509
2019,2,Gujarat,Surat,4W,EV,Tata Motors,Nexon EV,768
2019,2,Gujarat,Surat,4W,EV,Tata Motors,Tiago EV,1111
2019,2,Gujarat,Surat,4W,EV,MG Motor,ZS EV,374
2019,2,Gujarat,Surat,2W,ICE,Honda,Activa 6G,6146
2019,2,Gujarat,Surat,2W,ICE,TVS,Jupiter,7839
2019,2,Gujarat,Surat,2W,EV,Ola Electric,S1 Pro,1122
2019,2,Gujarat,Surat,2W,EV,Ather Energy,450X,735
2019,2,Uttar Pradesh,Noida,4W,ICE,Maruti Suzuki,Swift,2400
2019,2,Uttar Pradesh,Noida,4W,ICE,Hyundai,Creta,5496
2019,2,Uttar Pradesh,Noida,4W,EV,Tata Motors,Nexon EV,391
2019,2,Uttar Pradesh,Noida,4W,EV,Tata Motors,Tiago EV,980
2019,2,Uttar Pradesh,Noida,4W,EV,MG Motor,ZS EV,484
2019,2,Uttar Pradesh,Noida,2W,ICE,Honda,Activa 6G,3582
2019,2,Uttar Pradesh,Noida,2W,ICE,TVS,Jupiter,2527
2019,2,Uttar Pradesh,Noida,2W,EV,Ola Electric,S1 Pro,485
2019,2,Uttar Pradesh,Noida,2W,EV,Ather Energy,450X,1187
2019,2,Uttar Pradesh,Lucknow,4W,ICE,Maruti Suzuki,Swift,8235
2019,2,Uttar Pradesh,Lucknow,4W,ICE,Hyundai,Creta,5264
2019,2,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Nexon EV,1051
2019,2,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Tiago EV,1183
2019,2,Uttar Pradesh,Lucknow,4W,EV,MG Motor,ZS EV,532
2019,2,Uttar Pradesh,Lucknow,2W,ICE,Honda,Activa 6G,5864
2019,2,Uttar Pradesh,Lucknow,2W,ICE,TVS,Jupiter,4424
2019,2,Uttar Pradesh,Lucknow,2W,EV,Ola Electric,S1 Pro,1099
2019,2,Uttar Pradesh,Lucknow,2W,EV,Ather Energy,450X,936
2019,2,Kerala,Kochi,4W,ICE,Maruti Suzuki,Swift,4921
2019,2,Kerala,Kochi,4W,ICE,Hyundai,Creta,9496
2019,2,Kerala,Kochi,4W,EV,Tata Motors,Nexon EV,623
2019,2,Kerala,Kochi,4W,EV,Tata Motors,Tiago EV,985
2019,2,Kerala,Kochi,4W,EV,MG Motor,ZS EV,368
2019,2,Kerala,Kochi,2W,ICE,Honda,Activa 6G,2958
2019,2,Kerala,Kochi,2W,ICE,TVS,Jupiter,4753
2019,2,Kerala,Kochi,2W,EV,Ola Electric,S1 Pro,993
2019,2,Kerala,Kochi,2W,EV,Ather Energy,450X,1002
2019,2,Kerala,Trivandrum,4W,ICE,Maruti Suzuki,Swift,4428
2019,2,Kerala,Trivandrum,4W,ICE,Hyundai,Creta,5850
2019,2,Kerala,Trivandrum,4W,EV,Tata Motors,Nexon EV,893
2019,2,Kerala,Trivandrum,4W,EV,Tata Motors,Tiago EV,934
2019,2,Kerala,Trivandrum,4W,EV,MG Motor,ZS EV,914
2019,2,Kerala,Trivandrum,2W,ICE,Honda,Activa 6G,2853
2019,2,Kerala,Trivandrum,2W,ICE,TVS,Jupiter,7882
2019,2,Kerala,Trivandrum,2W,EV,Ola Electric,S1 Pro,1103
2019,2,Kerala,Trivandrum,2W,EV,Ather Energy,450X,1187
2019,3,Maharashtra,Mumbai,4W,ICE,Maruti Suzuki,Swift,8901
2019,3,Maharashtra,Mumbai,4W,ICE,Hyundai,Creta,2768
2019,3,Maharashtra,Mumbai,4W,EV,Tata Motors,Nexon EV,979
2019,3,Maharashtra,Mumbai,4W,EV,Tata Motors,Tiago EV,750
2019,3,Maharashtra,Mumbai,4W,EV,MG Motor,ZS EV,615
2019,3,Maharashtra,Mumbai,2W,ICE,Honda,Activa 6G,3520
2019,3,Maharashtra,Mumbai,2W,ICE,TVS,Jupiter,3130
2019,3,Maharashtra,Mumbai,2W,EV,Ola Electric,S1 Pro,707
2019,3,Maharashtra,Mumbai,2W,EV,Ather Energy,450X,942
2019,3,Maharashtra,Pune,4W,ICE,Maruti Suzuki,Swift,2568
2019,3,Maharashtra,Pune,4W,ICE,Hyundai,Creta,5046
2019,3,Maharashtra,Pune,4W,EV,Tata Motors,Nexon EV,511
2019,3,Maharashtra,Pune,4W,EV,Tata Motors,Tiago EV,1185
2019,3,Maharashtra,Pune,4W,EV,MG Motor,ZS EV,668
2019,3,Maharashtra,Pune,2W,ICE,Honda,Activa 6G,2400
2019,3,Maharashtra,Pune,2W,ICE,TVS,Jupiter,4056
2019,3,Maharashtra,Pune,2W,EV,Ola Electric,S1 Pro,306
2019,3,Maharashtra,Pune,2W,EV,Ather Energy,450X,397
2019,3,Maharashtra,Nagpur,4W,ICE,Maruti Suzuki,Swift,2196
2019,3,Maharashtra,Nagpur,4W,ICE,Hyundai,Creta,5616
2019,3,Maharashtra,Nagpur,4W,EV,Tata Motors,Nexon EV,676
2019,3,Maharashtra,Nagpur,4W,EV,Tata Motors,Tiago EV,887
2019,3,Maharashtra,Nagpur,4W,EV,MG Motor,ZS EV,472
2019,3,Maharashtra,Nagpur,2W,ICE,Honda,Activa 6G,10341
2019,3,Maharashtra,Nagpur,2W,ICE,TVS,Jupiter,6792
2019,3,Maharashtra,Nagpur,2W,EV,Ola Electric,S1 Pro,344
2019,3,Maharashtra,Nagpur,2W,EV,Ather Energy,450X,528
2019,3,Delhi,Delhi,4W,ICE,Maruti Suzuki,Swift,9670
2019,3,Delhi,Delhi,4W,ICE,Hyundai,Creta,5736
2019,3,Delhi,Delhi,4W,EV,Tata Motors,Nexon EV,1072
2019,3,Delhi,Delhi,4W,EV,Tata Motors,Tiago EV,1094
2019,3,Delhi,Delhi,4W,EV,MG Motor,ZS EV,828
2019,3,Delhi,Delhi,2W,ICE,Honda,Activa 6G,11030
2019,3,Delhi,Delhi,2W,ICE,TVS,Jupiter,4128
2019,3,Delhi,Delhi,2W,EV,Ola Electric,S1 Pro,729
2019,3,Delhi,Delhi,2W,EV,Ather Energy,450X,648
2019,3,Karnataka,Bengaluru,4W,ICE,Maruti Suzuki,Swift,6444
2019,3,Karnataka,Bengaluru,4W,ICE,Hyundai,Creta,5568
2019,3,Karnataka,Bengaluru,4W,EV,Tata Motors,Nexon EV,399
2019,3,Karnataka,Bengaluru,4W,EV,Tata Motors,Tiago EV,653
2019,3,Karnataka,Bengaluru,4W,EV,MG Motor,ZS EV,472
2019,3,Karnataka,Bengaluru,2W,ICE,Honda,Activa 6G,6768
2019,3,Karnataka,Bengaluru,2W,ICE,TVS,Jupiter,6500
2019,3,Karnataka,Bengaluru,2W,EV,Ola Electric,S1 Pro,680
2019,3,Karnataka,Bengaluru,2W,EV,Ather Energy,450X,839
2019,3,Karnataka,Mysuru,4W,ICE,Maruti Suzuki,Swift,5432
2019,3,Karnataka,Mysuru,4W,ICE,Hyundai,Creta,9130
2019,3,Karnataka,Mysuru,4W,EV,Tata Motors,Nexon EV,907
2019,3,Karnataka,Mysuru,4W,EV,Tata Motors,Tiago EV,912
2019,3,Karnataka,Mysuru,4W,EV,MG Motor,ZS EV,820
2019,3,Karnataka,Mysuru,2W,ICE,Honda,Activa 6G,5046
2019,3,Karnataka,Mysuru,2W,ICE,TVS,Jupiter,2590
2019,3,Karnataka,Mysuru,2W,EV,Ola Electric,S1 Pro,422
2019,3,Karnataka,Mysuru,2W,EV,Ather Energy,450X,1076
2019,3,Tamil Nadu,Chennai,4W,ICE,Maruti Suzuki,Swift,9954
2019,3,Tamil Nadu,Chennai,4W,ICE,Hyundai,Creta,5852
2019,3,Tamil Nadu,Chennai,4W,EV,Tata Motors,Nexon EV,751
2019,3,Tamil Nadu,Chennai,4W,EV,Tata Motors,Tiago EV,435
2019,3,Tamil Nadu,Chennai,4W,EV,MG Motor,ZS EV,669
2019,3,Tamil Nadu,Chennai,2W,ICE,Honda,Activa 6G,4170
2019,3,Tamil Nadu,Chennai,2W,ICE,TVS,Jupiter,9045
2019,3,Tamil Nadu,Chennai,2W,EV,Ola Electric,S1 Pro,938
2019,3,Tamil Nadu,Chennai,2W,EV,Ather Energy,450X,865
2019,3,Tamil Nadu,Coimbatore,4W,ICE,Maruti Suzuki,Swift,6853
2019,3,Tamil Nadu,Coimbatore,4W,ICE,Hyundai,Creta,10107
2019,3,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Nexon EV,367
2019,3,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Tiago EV,500
2019,3,Tamil Nadu,Coimbatore,4W,EV,MG Motor,ZS EV,439
2019,3,Tamil Nadu,Coimbatore,2W,ICE,Honda,Activa 6G,5934
2019,3,Tamil Nadu,Coimbatore,2W,ICE,TVS,Jupiter,6232
2019,3,Tamil Nadu,Coimbatore,2W,EV,Ola Electric,S1 Pro,562
2019,3,Tamil Nadu,Coimbatore,2W,EV,Ather Energy,450X,300
2019,3,Gujarat,Ahmedabad,4W,ICE,Maruti Suzuki,Swift,7456
2019,3,Gujarat,Ahmedabad,4W,ICE,Hyundai,Creta,11200
2019,3,Gujarat,Ahmedabad,4W,EV,Tata Motors,Nexon EV,403
2019,3,Gujarat,Ahmedabad,4W,EV,Tata Motors,Tiago EV,433
2019,3,Gujarat,Ahmedabad,4W,EV,MG Motor,ZS EV,1178
2019,3,Gujarat,Ahmedabad,2W,ICE,Honda,Activa 6G,2247
2019,3,Gujarat,Ahmedabad,2W,ICE,TVS,Jupiter,2624
2019,3,Gujarat,Ahmedabad,2W,EV,Ola Electric,S1 Pro,455
2019,3,Gujarat,Ahmedabad,2W,EV,Ather Energy,450X,443
2019,3,Gujarat,Surat,4W,ICE,Maruti Suzuki,Swift,9108
2019,3,Gujarat,Surat,4W,ICE,Hyundai,Creta,5274
2019,3,Gujarat,Surat,4W,EV,Tata Motors,Nexon EV,316
2019,3,Gujarat,Surat,4W,EV,Tata Motors,Tiago EV,303
2019,3,Gujarat,Surat,4W,EV,MG Motor,ZS EV,817
2019,3,Gujarat,Surat,2W,ICE,Honda,Activa 6G,4207
2019,3,Gujarat,Surat,2W,ICE,TVS,Jupiter,7011
2019,3,Gujarat,Surat,2W,EV,Ola Electric,S1 Pro,849
2019,3,Gujarat,Surat,2W,EV,Ather Energy,450X,346
2019,3,Uttar Pradesh,Noida,4W,ICE,Maruti Suzuki,Swift,2712
2019,3,Uttar Pradesh,Noida,4W,ICE,Hyundai,Creta,5504
2019,3,Uttar Pradesh,Noida,4W,EV,Tata Motors,Nexon EV,1061
2019,3,Uttar Pradesh,Noida,4W,EV,Tata Motors,Tiago EV,355
2019,3,Uttar Pradesh,Noida,4W,EV,MG Motor,ZS EV,972
2019,3,Uttar Pradesh,Noida,2W,ICE,Honda,Activa 6G,5760
2019,3,Uttar Pradesh,Noida,2W,ICE,TVS,Jupiter,5949
2019,3,Uttar Pradesh,Noida,2W,EV,Ola Electric,S1 Pro,926
2019,3,Uttar Pradesh,Noida,2W,EV,Ather Energy,450X,389
2019,3,Uttar Pradesh,Lucknow,4W,ICE,Maruti Suzuki,Swift,3992
2019,3,Uttar Pradesh,Lucknow,4W,ICE,Hyundai,Creta,8613
2019,3,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Nexon EV,547
2019,3,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Tiago EV,758
2019,3,Uttar Pradesh,Lucknow,4W,EV,MG Motor,ZS EV,1160
2019,3,Uttar Pradesh,Lucknow,2W,ICE,Honda,Activa 6G,5803
